step,K,U,E
0,0.0000003040,-0.4722199230,-0.4722196189
1,0.0000012162,-0.4722208351,-0.4722196189
2,0.0000027364,-0.4722223553,-0.4722196189
3,0.0000048647,-0.4722244836,-0.4722196189
4,0.0000076011,-0.4722272200,-0.4722196189
5,0.0000109457,-0.4722305646,-0.4722196189
6,0.0000148984,-0.4722345174,-0.4722196189
7,0.0000194595,-0.4722390784,-0.4722196189
8,0.0000246287,-0.4722442476,-0.4722196189
9,0.0000304064,-0.4722500253,-0.4722196189
10,0.0000367924,-0.4722564113,-0.4722196189
11,0.0000437868,-0.4722634057,-0.4722196189
12,0.0000513899,-0.4722710087,-0.4722196189
13,0.0000596015,-0.4722792204,-0.4722196189
14,0.0000684218,-0.4722880407,-0.4722196189
15,0.0000778510,-0.4722974698,-0.4722196189
16,0.0000878890,-0.4723075078,-0.4722196189
17,0.0000985360,-0.4723181549,-0.4722196189
18,0.0001097922,-0.4723294110,-0.4722196188
19,0.0001216575,-0.4723412764,-0.4722196188
20,0.0001341323,-0.4723537511,-0.4722196188
21,0.0001472165,-0.4723668353,-0.4722196188
22,0.0001609104,-0.4723805292,-0.4722196188
23,0.0001752140,-0.4723948328,-0.4722196188
24,0.0001901276,-0.4724097464,-0.4722196188
25,0.0002056512,-0.4724252700,-0.4722196188
26,0.0002217851,-0.4724414039,-0.4722196188
27,0.0002385294,-0.4724581482,-0.4722196188
28,0.0002558843,-0.4724755031,-0.4722196188
29,0.0002738500,-0.4724934688,-0.4722196187
30,0.0002924267,-0.4725120454,-0.4722196187
31,0.0003116145,-0.4725312332,-0.4722196187
32,0.0003314137,-0.4725510324,-0.4722196187
33,0.0003518245,-0.4725714431,-0.4722196187
34,0.0003728470,-0.4725924657,-0.4722196187
35,0.0003944816,-0.4726141003,-0.4722196187
36,0.0004167284,-0.4726363471,-0.4722196186
37,0.0004395878,-0.4726592064,-0.4722196186
38,0.0004630598,-0.4726826784,-0.4722196186
39,0.0004871448,-0.4727067634,-0.4722196186
40,0.0005118431,-0.4727314616,-0.4722196186
41,0.0005371548,-0.4727567734,-0.4722196186
42,0.0005630803,-0.4727826988,-0.4722196185
43,0.0005896198,-0.4728092383,-0.4722196185
44,0.0006167737,-0.4728363922,-0.4722196185
