step,K,U,E
0,0.0000000080,-0.0748622306,-0.0748622226
1,0.0000000320,-0.0748622546,-0.0748622226
2,0.0000000719,-0.0748622945,-0.0748622226
3,0.0000001279,-0.0748623505,-0.0748622226
4,0.0000001998,-0.0748624224,-0.0748622226
5,0.0000002877,-0.0748625103,-0.0748622226
6,0.0000003916,-0.0748626142,-0.0748622226
7,0.0000005115,-0.0748627341,-0.0748622226
8,0.0000006474,-0.0748628700,-0.0748622226
9,0.0000007993,-0.0748630219,-0.0748622226
10,0.0000009671,-0.0748631897,-0.0748622226
11,0.0000011510,-0.0748633735,-0.0748622226
12,0.0000013508,-0.0748635734,-0.0748622226
13,0.0000015666,-0.0748637892,-0.0748622226
14,0.0000017984,-0.0748640210,-0.0748622226
15,0.0000020462,-0.0748642688,-0.0748622226
16,0.0000023099,-0.0748645325,-0.0748622226
17,0.0000025897,-0.0748648123,-0.0748622226
18,0.0000028855,-0.0748651080,-0.0748622226
19,0.0000031972,-0.0748654198,-0.0748622226
20,0.0000035249,-0.0748657475,-0.0748622226
21,0.0000038687,-0.0748660912,-0.0748622226
22,0.0000042284,-0.0748664510,-0.0748622226
23,0.0000046041,-0.0748668267,-0.0748622226
24,0.0000049958,-0.0748672184,-0.0748622226
25,0.0000054035,-0.0748676261,-0.0748622226
26,0.0000058272,-0.0748680498,-0.0748622226
27,0.0000062669,-0.0748684894,-0.0748622226
28,0.0000067225,-0.0748689451,-0.0748622226
29,0.0000071942,-0.0748694168,-0.0748622226
30,0.0000076819,-0.0748699045,-0.0748622226
31,0.0000081855,-0.0748704081,-0.0748622226
32,0.0000087052,-0.0748709278,-0.0748622226
33,0.0000092409,-0.0748714635,-0.0748622226
34,0.0000097926,-0.0748720151,-0.0748622226
35,0.0000103602,-0.0748725828,-0.0748622226
36,0.0000109439,-0.0748731665,-0.0748622226
37,0.0000115436,-0.0748737662,-0.0748622226
38,0.0000121592,-0.0748743818,-0.0748622226
39,0.0000127909,-0.0748750135,-0.0748622226
40,0.0000134386,-0.0748756612,-0.0748622226
41,0.0000141023,-0.0748763249,-0.0748622226
42,0.0000147820,-0.0748770046,-0.0748622226
43,0.0000154777,-0.0748777003,-0.0748622226
44,0.0000161895,-0.0748784120,-0.0748622226
45,0.0000169172,-0.0748791398,-0.0748622226
46,0.0000176610,-0.0748798835,-0.0748622226
47,0.0000184207,-0.0748806433,-0.0748622226
48,0.0000191965,-0.0748814191,-0.0748622226
49,0.0000199883,-0.0748822109,-0.0748622226
50,0.0000207961,-0.0748830187,-0.0748622226
51,0.0000216200,-0.0748838425,-0.0748622226
52,0.0000224598,-0.0748846824,-0.0748622226
53,0.0000233157,-0.0748855383,-0.0748622226
54,0.0000241876,-0.0748864102,-0.0748622226
55,0.0000250755,-0.0748872981,-0.0748622226
56,0.0000259795,-0.0748882021,-0.0748622226
57,0.0000268995,-0.0748891220,-0.0748622226
58,0.0000278355,-0.0748900580,-0.0748622226
59,0.0000287875,-0.0748910101,-0.0748622226
60,0.0000297556,-0.0748919782,-0.0748622226
61,0.0000307397,-0.0748929623,-0.0748622226
62,0.0000317398,-0.0748939624,-0.0748622226
63,0.0000327560,-0.0748949786,-0.0748622226
64,0.0000337882,-0.0748960108,-0.0748622226
65,0.0000348365,-0.0748970591,-0.0748622226
66,0.0000359008,-0.0748981234,-0.0748622226
67,0.0000369812,-0.0748992037,-0.0748622226
68,0.0000380776,-0.0749003001,-0.0748622226
69,0.0000391900,-0.0749014126,-0.0748622226
70,0.0000403185,-0.0749025411,-0.0748622226
71,0.0000414630,-0.0749036856,-0.0748622226
72,0.0000426236,-0.0749048462,-0.0748622226
73,0.0000438003,-0.0749060229,-0.0748622226
74,0.0000449930,-0.0749072156,-0.0748622226
75,0.0000462018,-0.0749084244,-0.0748622226
76,0.0000474266,-0.0749096492,-0.0748622226
77,0.0000486675,-0.0749108901,-0.0748622226
78,0.0000499245,-0.0749121471,-0.0748622226
79,0.0000511975,-0.0749134201,-0.0748622226
80,0.0000524866,-0.0749147092,-0.0748622226
81,0.0000537918,-0.0749160144,-0.0748622226
82,0.0000551130,-0.0749173356,-0.0748622226
83,0.0000564503,-0.0749186729,-0.0748622226
84,0.0000578037,-0.0749200263,-0.0748622226
85,0.0000591732,-0.0749213958,-0.0748622226
86,0.0000605588,-0.0749227814,-0.0748622226
87,0.0000619604,-0.0749241830,-0.0748622226
88,0.0000633782,-0.0749256008,-0.0748622226
89,0.0000648120,-0.0749270346,-0.0748622226
90,0.0000662619,-0.0749284845,-0.0748622226
91,0.0000677279,-0.0749299505,-0.0748622226
92,0.0000692101,-0.0749314326,-0.0748622226
